,location,total_sqft,bath,balcony,price,bedrooms
0,Indira Nagar,1145,2,1,9364.3,5
1,Koramangala,1126,5,0,10962.21,4
2,BTM Layout,810,2,0,4613.14,2
3,Koramangala,1643,3,3,12895.12,3
4,Electronic City,1199,1,2,3933.13,3
5,Marathahalli,953,1,2,4614.76,2
6,HSR Layout,1246,5,2,7945.36,1
7,Jayanagar,1766,4,2,12552.24,5
8,Marathahalli,1217,1,0,5172.49,4
9,Koramangala,1935,1,3,19520.27,5
10,Marathahalli,1305,3,2,7302.85,3
11,Marathahalli,1102,4,3,5751.41,3
12,Whitefield,1030,1,1,7169.74,4
13,Indira Nagar,1036,4,1,6755.87,5
14,Jayanagar,943,1,1,5230.64,1
15,Koramangala,1227,1,0,10633.51,2
16,Koramangala,891,5,2,7731.05,2
17,HSR Layout,1672,3,1,9733.95,2
18,BTM Layout,754,3,2,4480.15,2
19,Koramangala,1206,5,0,11323.19,3
20,Indira Nagar,1675,5,2,9730.09,3
21,Whitefield,1688,4,1,6793.38,3
22,BTM Layout,1312,5,0,6855.54,1
23,Marathahalli,1390,3,1,7308.5,4
24,Jayanagar,876,3,2,7260.67,1
25,HSR Layout,1122,5,2,7735.17,1
26,Whitefield,1159,5,3,7720.5,5
27,Indira Nagar,1791,5,0,10490.57,4
28,Whitefield,1210,2,2,5456.19,2
29,Whitefield,1597,3,2,10628.89,1
30,Jayanagar,1181,1,1,8467.92,3
31,BTM Layout,1280,3,3,7774.19,4
32,BTM Layout,1249,2,3,9282.48,3
33,HSR Layout,1292,3,3,10450.83,5
34,BTM Layout,878,3,3,6572.06,1
35,Whitefield,1399,5,0,7776.47,5
36,Jayanagar,1624,5,3,8517.5,4
37,Whitefield,1676,5,2,9403.24,3
38,Marathahalli,1135,4,3,6075.94,1
39,Electronic City,1131,1,1,3656.86,1
40,Electronic City,1221,2,1,4348.49,3
41,Koramangala,1790,3,3,11092.69,4
42,Whitefield,988,1,1,4236.49,1
43,BTM Layout,1827,5,1,10811.0,5
44,Koramangala,1322,4,0,12741.3,3
45,Marathahalli,901,1,3,5111.71,2
46,Electronic City,1100,5,3,5977.74,5
47,Indira Nagar,1561,4,3,10447.14,5
48,Koramangala,1201,5,3,10764.7,3
49,Indira Nagar,1436,1,2,12069.62,2
50,Electronic City,1847,3,2,10111.57,4
51,Marathahalli,1589,4,2,6981.21,2
52,Whitefield,794,5,1,4707.96,2
53,Marathahalli,1010,3,2,5223.43,3
54,Whitefield,1261,5,3,5570.07,1
55,Whitefield,1498,4,3,6350.36,5
56,Whitefield,1794,4,2,11207.27,5
57,Electronic City,1212,5,3,6272.98,1
58,Jayanagar,889,3,3,4358.46,3
59,Koramangala,1416,1,2,10312.5,4
60,Koramangala,1036,2,1,7650.96,5
61,HSR Layout,640,3,1,4517.08,1
62,Indira Nagar,1384,3,1,10873.82,4
63,HSR Layout,1469,2,0,10910.64,2
64,Koramangala,1151,2,3,9341.44,3
65,Koramangala,1453,3,1,14604.08,1
66,Jayanagar,1021,2,3,5113.9,2
67,Indira Nagar,726,1,1,5131.59,2
68,Marathahalli,1584,3,0,10145.5,2
69,Koramangala,1681,2,3,13418.29,2
70,HSR Layout,833,3,1,6044.24,2
71,HSR Layout,785,4,3,3675.82,2
72,Whitefield,1475,3,3,8747.44,5
73,Indira Nagar,726,2,1,7011.89,2
74,Jayanagar,1327,3,3,7791.08,2
75,Jayanagar,1319,2,1,7325.97,1
76,Whitefield,1128,5,3,4470.1,1
77,HSR Layout,747,4,2,5148.03,2
78,Koramangala,1568,2,2,10046.67,4
79,Marathahalli,1640,4,3,6484.73,4
80,BTM Layout,1085,4,0,7982.4,1
81,BTM Layout,1820,2,0,8726.1,4
82,HSR Layout,1417,4,2,8918.6,4
83,Indira Nagar,1198,1,2,6574.47,1
84,Whitefield,1213,2,0,5122.37,1
85,Electronic City,1144,1,1,5070.13,5
86,HSR Layout,1213,5,3,9817.3,2
87,Marathahalli,1017,3,1,4252.01,5
88,Koramangala,1034,3,0,9229.15,4
89,Marathahalli,1276,1,2,5246.03,2
90,BTM Layout,1031,3,1,6348.93,3
91,Indira Nagar,690,4,1,4415.63,1
92,Koramangala,890,1,3,5650.79,2
93,Indira Nagar,1041,5,0,5741.36,5
94,BTM Layout,1085,1,3,7270.62,2
95,Jayanagar,1662,4,2,12282.06,3
96,Whitefield,1257,2,3,6820.94,4
97,BTM Layout,1767,5,1,9317.01,4
98,BTM Layout,1783,1,0,9698.33,4
99,Indira Nagar,1363,5,1,10301.96,4
100,HSR Layout,1277,2,3,10211.14,2
101,Whitefield,1558,4,2,10666.42,5
102,Koramangala,1118,1,3,11620.37,4
103,Koramangala,952,2,1,7073.52,3
104,Whitefield,1725,3,1,6777.08,4
105,Electronic City,1138,5,3,4942.96,3
106,Electronic City,1277,1,0,6449.62,3
107,Marathahalli,1665,1,2,9376.63,4
108,BTM Layout,1692,3,1,8207.56,2
109,BTM Layout,1607,5,3,10861.76,4
110,BTM Layout,1188,2,2,8881.01,2
111,Whitefield,1054,3,1,5291.24,1
112,Indira Nagar,814,2,1,4663.23,3
113,Whitefield,1212,2,3,4869.24,3
114,Koramangala,1024,3,2,7026.27,4
115,Indira Nagar,1439,1,2,8797.24,5
116,BTM Layout,1581,3,0,9601.13,5
117,Electronic City,1526,1,2,8259.87,1
118,Electronic City,1337,1,1,7819.99,3
119,HSR Layout,1849,2,1,9550.28,5
120,Whitefield,1539,4,1,10070.56,1
121,BTM Layout,1666,5,1,9617.94,4
122,Electronic City,1037,2,2,5306.23,1
123,Electronic City,1716,1,0,9539.86,5
124,BTM Layout,1208,3,0,8237.86,1
125,BTM Layout,1098,5,2,8155.97,1
126,HSR Layout,1365,5,0,8011.7,5
127,Electronic City,1501,5,1,6963.88,5
128,Electronic City,783,3,3,2852.12,2
129,Koramangala,1581,3,3,13069.57,5
130,HSR Layout,1152,1,2,6163.89,4
131,Marathahalli,1278,5,3,5546.59,2
132,Jayanagar,1385,2,0,10220.96,2
133,Indira Nagar,1191,5,1,10023.87,5
134,Jayanagar,1802,3,1,14424.84,5
135,BTM Layout,1001,2,0,5598.67,1
136,HSR Layout,1562,5,1,7983.89,4
137,Marathahalli,1100,4,0,4763.46,4
138,Koramangala,712,1,3,5305.05,2
139,Marathahalli,1546,5,3,9216.87,3
140,Indira Nagar,1147,1,2,6243.49,2
141,Whitefield,1612,3,3,9710.86,3
142,Jayanagar,1184,1,2,8218.0,4
143,HSR Layout,1778,2,0,9801.6,5
144,Jayanagar,1682,1,0,9970.81,2
145,Marathahalli,1060,4,1,4397.56,1
146,Jayanagar,1609,2,2,11041.68,5
147,Jayanagar,1114,3,2,7745.4,2
148,HSR Layout,1960,4,2,9739.62,5
149,HSR Layout,1271,5,3,6597.09,2
150,Marathahalli,1484,5,2,6221.65,1
151,HSR Layout,1811,2,3,11756.82,4
152,BTM Layout,1767,3,0,11446.02,5
153,BTM Layout,1536,4,2,9937.64,4
154,BTM Layout,1864,1,3,11044.73,5
155,Whitefield,1928,2,1,10037.01,5
156,Koramangala,1046,3,1,6706.06,1
157,HSR Layout,1546,5,3,11115.4,4
158,BTM Layout,1435,5,0,9551.97,3
159,Jayanagar,1763,5,3,11269.07,4
160,HSR Layout,1111,2,3,9228.38,4
161,Indira Nagar,1121,1,1,7341.33,4
162,HSR Layout,1687,1,1,11895.64,3
163,Koramangala,1193,4,2,8943.82,1
164,Koramangala,1128,3,0,10526.45,4
165,Jayanagar,1454,2,2,9451.69,1
166,BTM Layout,1687,2,3,11699.56,3
167,Whitefield,1453,2,1,8498.13,4
168,Marathahalli,1127,3,0,6544.72,5
169,Whitefield,1436,1,0,8029.09,3
170,Electronic City,1518,5,3,5677.97,5
171,Koramangala,1471,4,3,9778.24,2
172,BTM Layout,1328,3,0,5802.35,3
173,Electronic City,1551,1,1,6582.44,1
174,HSR Layout,984,4,1,7925.3,1
175,HSR Layout,1614,5,2,11710.95,5
176,HSR Layout,1318,4,2,8056.7,5
177,BTM Layout,1140,1,0,6897.07,1
178,Indira Nagar,1413,1,2,13548.35,5
179,Indira Nagar,1663,5,3,9042.61,2
180,BTM Layout,1641,4,2,10856.42,3
181,Indira Nagar,1505,3,3,12423.22,2
