area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Under Construction,Indira Nagar,5 Bedroom,Society D,1145,2,1,9364.3
Built-up  Area,Ready To Move,Koramangala,4 BHK,Society B,1126,5,0,10962.21
Plot  Area,Immediate Possession,BTM Layout,2 BHK,Society D,810,2,0,4613.14
Plot  Area,Under Construction,Koramangala,3 BHK,Society A,1643,3,3,12895.12
Carpet  Area,Under Construction,Electronic City,3 BHK,Society E,1199,1,2,3933.13
Plot  Area,Immediate Possession,Marathahalli,2 Bedroom,Society B,953,1,2,4614.76
Carpet  Area,Ready To Move,HSR Layout,1 Bedroom,Society E,1246,5,2,7945.36
Super built-up  Area,Immediate Possession,Jayanagar,5 BHK,Society B,1766,4,2,12552.24
Built-up  Area,Under Construction,Marathahalli,4 BHK,Society C,1217,1,0,5172.49
Plot  Area,Ready To Move,Koramangala,5 BHK,Society C,1935,1,3,19520.27
Plot  Area,Under Construction,Marathahalli,3 Bedroom,Society C,1305,3,2,7302.85
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Society C,1102,4,3,5751.41
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Society B,1030,1,1,7169.74
Super built-up  Area,Under Construction,Indira Nagar,5 Bedroom,Society D,1036,4,1,6755.87
Super built-up  Area,Under Construction,Jayanagar,1 Bedroom,Society A,943,1,1,5230.64
Built-up  Area,Immediate Possession,Koramangala,2 Bedroom,Society A,1227,1,0,10633.51
Carpet  Area,Ready To Move,Koramangala,2 BHK,Society A,891,5,2,7731.05
Carpet  Area,Under Construction,HSR Layout,2 BHK,Society B,1672,3,1,9733.95
Super built-up  Area,Under Construction,BTM Layout,2 BHK,Society E,754,3,2,4480.15
Built-up  Area,Ready To Move,Koramangala,3 BHK,Society A,1206,5,0,11323.19
Super built-up  Area,Immediate Possession,Indira Nagar,3 Bedroom,Society A,1675,5,2,9730.09
Super built-up  Area,Ready To Move,Whitefield,3 Bedroom,Society D,1688,4,1,6793.38
Super built-up  Area,Under Construction,BTM Layout,1 BHK,Society D,1312,5,0,6855.54
Built-up  Area,Immediate Possession,Marathahalli,4 Bedroom,Society A,1390,3,1,7308.5
Carpet  Area,Immediate Possession,Jayanagar,1 BHK,Society E,876,3,2,7260.67
Super built-up  Area,Ready To Move,HSR Layout,1 Bedroom,Society C,1122,5,2,7735.17
Plot  Area,Immediate Possession,Whitefield,5 BHK,Society B,1159,5,3,7720.5
Carpet  Area,Under Construction,Indira Nagar,4 BHK,Society C,1791,5,0,10490.57
Carpet  Area,Under Construction,Whitefield,2 Bedroom,Society E,1210,2,2,5456.19
Carpet  Area,Immediate Possession,Whitefield,1 Bedroom,Society A,1597,3,2,10628.89
Built-up  Area,Under Construction,Jayanagar,3 Bedroom,Society E,1181,1,1,8467.92
Carpet  Area,Immediate Possession,BTM Layout,4 Bedroom,Society B,1280,3,3,7774.19
Built-up  Area,Under Construction,BTM Layout,3 BHK,Society B,1249,2,3,9282.48
Built-up  Area,Immediate Possession,HSR Layout,5 Bedroom,Society E,1292,3,3,10450.83
Built-up  Area,Under Construction,BTM Layout,1 Bedroom,Society A,878,3,3,6572.06
Plot  Area,Ready To Move,Whitefield,5 Bedroom,Society C,1399,5,0,7776.47
Plot  Area,Ready To Move,Jayanagar,4 BHK,Society A,1624,5,3,8517.5
Built-up  Area,Immediate Possession,Whitefield,3 Bedroom,Society D,1676,5,2,9403.24
Super built-up  Area,Immediate Possession,Marathahalli,1 Bedroom,Society A,1135,4,3,6075.94
Built-up  Area,Immediate Possession,Electronic City,1 BHK,Society B,1131,1,1,3656.86
Plot  Area,Immediate Possession,Electronic City,3 BHK,Society C,1221,2,1,4348.49
Super built-up  Area,Under Construction,Koramangala,4 Bedroom,Society A,1790,3,3,11092.69
Carpet  Area,Under Construction,Whitefield,1 Bedroom,Society C,988,1,1,4236.49
Plot  Area,Immediate Possession,BTM Layout,5 Bedroom,Society C,1827,5,1,10811.0
Super built-up  Area,Immediate Possession,Koramangala,3 BHK,Society D,1322,4,0,12741.3
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Society D,901,1,3,5111.71
Plot  Area,Ready To Move,Electronic City,5 BHK,Society C,1100,5,3,5977.74
Super built-up  Area,Immediate Possession,Indira Nagar,5 Bedroom,Society B,1561,4,3,10447.14
